name,steps,T=0,T=1,T=0.3

policy-greedy,16,0.0549,,,
policy-random,16,0.1890,,,
entropy-greedy,16,0.0427,,,
entropy-random,16,0.3049,,,
origin,16,0.1585,,,

policy-greedy,32,,,,
policy-random,32,0.2561<4030734@T=30>,,,
entropy-greedy,32,0.1037,,,
entropy-random,32,0.3476,,,
origin,32,0.2378,,,

policy-greedy,64,,,,
policy-random,64,0.3232,,,
entropy-greedy,64,0.2195,,,
entropy-random,64,0.3719,,,
origin,64,0.2256,,,

policy-greedy,128,,,,
policy-random,128,0.3659,,,
entropy-greedy,128,0.3110,,,
entropy-random,128,0.3963,,,
origin,128,0.2866,,,

20.12>20.73>
